Estacion,Longitud,Latitud,Linea
Alberti,-58.401207534233,-34.6098335784398,A
Pasco,-58.3984269918123,-34.6094569170521,A
Congreso,-58.3926688246648,-34.6092256843174,A
Sáenz Peña,-58.3867771940873,-34.6094125865027,A
Lima,-58.3822324010181,-34.609098655619,A
Piedras,-58.3790851530908,-34.608881721215,A
Perú,-58.3742677264304,-34.608559738532,A
Plaza de Mayo,-58.3709648989674,-34.6088103961689,A
Pasteur,-58.399474256679,-34.6046429679193,B
Callao B,-58.3923142350887,-34.6044915426087,B
Uruguay,-58.3872961135408,-34.6040953531057,B
Carlos Pellegrini,-58.3807148471409,-34.6036371051817,B
Florida,-58.3750715182636,-34.6032972855775,B
Leandro N.Alem,-58.3699928501224,-34.6029969466332,B
Constitución,-58.3814434393943,-34.6276194522548,C
San Juan,-58.3799211788651,-34.6219617322081,C
Independencia C,-58.3801736104752,-34.6181255993293,C
Moreno,-58.38044446966,-34.6126177298037,C
Avenida de Mayo,-58.3806107179579,-34.6089833148827,C
Diagonal Norte,-58.3759299800739,-34.6048437399143,C
Lavalle,-58.3781557828244,-34.6017699230114,C
General San Martín,-58.37781910509867,-34.5959574047792,C
Retiro,-58.3740128164816,-34.5911938883113,C
Facultad de Medicina,-58.3972253755734,-34.59975708076,D
Callao D,-58.3932151890727,-34.599639552419,D
Tribunales,-58.3851423580813,-34.6015876151394,D
9 de Julio,-58.3805743428896,-34.6044520296929,D
Catedral,-58.3795360956911,-34.6032843642899,D
Pichincha,-58.3970680746626,-34.6227166621278,E
Entre Ríos,-58.3851485496128,-34.6223394919367,E
San José,-58.3815349411722,-34.617937397972,E
Independencia E,-58.3851395411272,-34.6128491058186,E
Belgrano,-58.3778808506406,-34.6138994512063,E
Bolívar,-58.3736842241685,-34.6092424288863,E
